Admin	Baseline+News	Baseline	Ablated	IPC index	Month	Year	Expert
Majang	0.9248	0.9358	0.9082	1	7	2009	2
Majang	0.9016	0.9474	1.0403	1	8	2009	2
Majang	0.9962	0.9791	0.8137	1	9	2009	2
Majang	0.8923	0.8843	0.8020	1	10	2009	2
Majang	1.0705	1.0764	1.0083	1	11	2009	2
Majang	0.9389	0.8675	1.0175	1	12	2009	2
Majang	0.9562	0.9679	0.9980	1	1	2010	2
Majang	0.9693	0.9396	0.9368	1	2	2010	2
Majang	1.0781	1.0996	0.9932	1	3	2010	2
Majang	1.0315	0.8728	0.8735	1	4	2010	2
Majang	0.9689	1.0259	0.9556	1	5	2010	2
Majang	1.6549	0.8824	1.0646	1	6	2010	2
Majang	2.5353	2.1114	1.7916	3	7	2010	2
Majang	3.2774	1.4541	2.1256	3	8	2010	2
Majang	2.8601	2.0388	1.9441	3	9	2010	2
Majang	3.1427	1.5044	1.7848	3	10	2010	2
Majang	2.9049	1.5876	1.9868	3	11	2010	2
Majang	2.8731	1.7170	1.5265	3	12	2010	2
Majang	2.1551	1.2827	1.5198	2	1	2011	2
Majang	1.9297	1.7995	1.7597	2	2	2011	2
Majang	1.9703	1.8317	2.0851	2	3	2011	2
Majang	1.9123	1.9758	2.1072	2	4	2011	2
Majang	1.9705	2.0807	1.7991	2	5	2011	2
Majang	2.0828	1.8987	1.7694	2	6	2011	2
Majang	1.8794	2.1223	1.8361	2	7	2011	2
Majang	2.0968	1.8102	2.0091	2	8	2011	3
Majang	1.8811	1.8722	2.0585	2	9	2011	3
Jamaame	2.1072	2.0651	1.9826	2	7	2010	3
Jamaame	2.1377	1.7984	1.9765	2	8	2010	3
Jamaame	2.0712	2.1005	1.8885	2	9	2010	3
Jamaame	1.9610	2.0882	1.9825	2	10	2010	3
Jamaame	1.9859	2.0720	1.6879	2	11	2010	3
Jamaame	2.1208	1.9053	1.9243	2	12	2010	3
Jamaame	1.9123	1.8997	1.8519	2	1	2011	3
Jamaame	2.0396	2.1762	1.8040	2	2	2011	3
Jamaame	2.0800	2.0742	2.0263	2	3	2011	3
Jamaame	1.8476	1.6277	1.8951	2	4	2011	3
Jamaame	2.1601	1.9085	2.1925	2	5	2011	5
Jamaame	2.4301	1.8424	2.2255	2	6	2011	5
Jamaame	3.6143	1.4762	1.6121	4	7	2011	5
Jamaame	3.6637	2.7747	2.4971	4	8	2011	4
Jamaame	3.7748	2.1221	2.3898	4	9	2011	4
Jamaame	3.7433	1.5880	1.9638	4	10	2011	4
Jamaame	4.1705	1.7282	2.0751	4	11	2011	3
Jamaame	3.8980	2.7640	2.0451	4	12	2011	3
Jamaame	3.3689	2.0772	1.9922	3	1	2012	3
Jamaame	3.2176	1.5057	1.6454	3	2	2012	3
Jamaame	2.9061	1.8327	1.9348	3	3	2012	3
Jamaame	3.3469	1.2547	2.0853	3	4	2012	3
Jamaame	2.8709	1.9380	1.7239	3	5	2012	3
Jamaame	3.0844	1.2241	1.6269	3	6	2012	3
Jamaame	2.9354	1.2524	1.5224	3	7	2012	3
Jamaame	2.8093	1.8994	1.7812	3	8	2012	3
Jamaame	2.7382	2.1442	1.7430	3	9	2012	3
Yambio	1.0007	0.8848	0.9967	1	2	2016	2
Yambio	1.0501	0.9755	1.0691	1	3	2016	2
Yambio	1.2498	1.0970	0.8395	1	4	2016	2
Yambio	1.7584	1.3576	1.5119	2	5	2016	2
Yambio	1.7938	2.0352	1.9921	2	6	2016	2
Yambio	1.7961	2.1202	1.9459	2	7	2016	2
Yambio	2.0643	2.0212	1.7956	2	8	2016	2
Yambio	2.1326	1.6777	2.0177	2	9	2016	2
Yambio	2.0969	2.1283	2.0232	2	10	2016	2
Yambio	1.8637	1.7677	2.1973	2	11	2016	2
Yambio	1.8907	1.9087	1.8511	2	12	2016	2
Yambio	2.2773	2.1381	1.8668	2	1	2017	2
Yambio	2.7233	1.7616	1.6910	3	2	2017	2
Yambio	2.8585	1.8478	1.5422	3	3	2017	2
Yambio	2.5210	2.0181	1.7278	3	4	2017	2
Yambio	2.5123	1.1564	1.4125	2	5	2017	2
Yambio	2.0351	1.6343	2.0615	2	6	2017	2
Yambio	2.2746	1.8240	1.6363	2	7	2017	2
Yambio	2.7016	0.9808	1.2981	3	8	2017	2
Yambio	2.8844	1.2781	1.7946	3	9	2017	2
Yambio	2.8114	1.7162	1.7841	3	10	2017	2
Yambio	3.0216	1.4889	1.8975	3	11	2017	2
Yambio	2.8962	1.5256	1.8382	3	12	2017	2
Yambio	2.5994	1.2397	1.9076	3	1	2018	2
Yambio	2.1756	1.0668	1.5114	2	2	2018	3
Yambio	1.8890	1.7569	1.6979	2	3	2018	3
Yambio	2.0644	1.7378	1.9474	2	4	2018	3
